issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Carrington Mtg Ln,Below Investment Grade,362.0,Bond - Asset Backed,Asset Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,360.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
SLM Student Loan Trust,Investment Grade,111.0,Bond - Asset Backed,Asset Backed,Developed
Sutter Health,Investment Grade,98.0,Bond - Corporate Bond,Corporate Bond,Developed
Residential Asset Securities Corp.,Below Investment Grade,91.0,Bond - Asset Backed,Asset Backed,Developed
Rali Ser 06-Qa4 Tr,Below Investment Grade,345.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Asset Backed Securities I Trust,Below Investment Grade,195.0,Bond - Asset Backed,Asset Backed,Developed
Landmark Mortgage Securities No.2 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Aegis Asset Backed Secs Trust,Below Investment Grade,437.0,Bond - Asset Backed,Asset Backed,Developed
CWABS Asset-Backed Certificates Trust 2007-10,Below Investment Grade,226.0,Bond - Asset Backed,Asset Backed,Developed
Uropa Securities PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Abfc 2006-Opt3 Tr,Below Investment Grade,1358.0,Bond - Asset Backed,Asset Backed,Developed
,,,Credit Default Swap,Swap,
Fnma Pass-Thru I,,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Spclty Undrw & Res,Below Investment Grade,1883.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"LifePoint Health, Inc",Below Investment Grade,533.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
GSAA Home Equity Trust,Below Investment Grade,900.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Citicorp Res Mtg T,Below Investment Grade,562.0,Bond - Asset Backed,Asset Backed,Developed
Structured Asset M,Below Investment Grade,323.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"Preferred Term Securities VIII, Ltd./Preferred Term Securities VIII, Inc.",Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,307.0,Bond - Asset Backed,Asset Backed,Developed
GSAA Home Equity Trust,Below Investment Grade,292.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Cmalt Citimortgage,Below Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Cwalt Incorporation,Below Investment Grade,1136.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Countrywide Alternative loan Trust,Below Investment Grade,190.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Securitized A/Bkd Rec Llc Tr 06-Fr4,Below Investment Grade,577.0,Bond - Asset Backed,Asset Backed,Developed
NEW MOUNTAIN CLO 4 LTD,,,Bond - Asset Backed,Asset Backed,Developed
Mariner Clo 5 Ltd / Mariner Clo 5 Llc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Long Beach Mortgage Loan Trust 2006-11,Below Investment Grade,1906.0,Bond - Asset Backed,Asset Backed,Developed
Bear Stearns Asset Backed Securities I Trust,Below Investment Grade,126.0,Bond - Asset Backed,Asset Backed,Developed
Indymac Indx Mtg,Below Investment Grade,112.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWABS Asset-Backed Certificates Trust 2007-1,Below Investment Grade,294.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,494.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Cwalt Incorporation,Below Investment Grade,366.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wash Mutual A/Bkd,Below Investment Grade,920.0,Bond - Asset Backed,Asset Backed,Developed
,,,Credit Default Swap,Swap,
Morgan Stanley ABS Capital I Inc,Below Investment Grade,908.0,Bond - Asset Backed,Asset Backed,Developed
"Merrill Lynch Mortgage Investors, Inc.",Below Investment Grade,14244.0,Bond - Asset Backed,Asset Backed,Developed
CCG RECEIVABLES TRUST 2023-1,Investment Grade,89.0,Bond - Asset Backed,Asset Backed,Developed
Ms Cap I Tr 2016-Ubs9,Investment Grade,109.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
JP Morgan Mtg Ac7,Investment Grade,1205.0,Bond - Asset Backed,Asset Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,317.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Strctrd Asset Invt,Below Investment Grade,536.0,Bond - Asset Backed,Asset Backed,Developed
Nelnet Student Ln Tr 2018-3,Investment Grade,129.0,Bond - Asset Backed,Asset Backed,Developed
Greenpoint Mtg Fdg,Below Investment Grade,346.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Harborview Mtg Loan Trust,Below Investment Grade,375.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
M Stanley Abs 06,Below Investment Grade,646.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,32.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,109.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,401.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Indymac MBS Inc,Below Investment Grade,549.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
J P Morgan Mortgage Acquisition Corporation,Below Investment Grade,87.0,Bond - Asset Backed,Asset Backed,Developed
Fremont Home Loan Trust,Below Investment Grade,452.0,Bond - Asset Backed,Asset Backed,Developed
Morgan Stanley ABS Capital I Inc. Trust 2004-NC1,Investment Grade,224.0,Bond - Asset Backed,Asset Backed,Developed
Bcap Llc Tr 07-Aa1,,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Chaseflex Trust,Below Investment Grade,574.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Rasc Ser 07-Ks1,Below Investment Grade,168.0,Bond - Asset Backed,Asset Backed,Developed
Cedar Funding IX CLO,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CWABS Asset-Backed Certificates Trust 2007-QH2,Below Investment Grade,620.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Strctrd Asset Invt,Below Investment Grade,708.0,Bond - Asset Backed,Asset Backed,Developed
Comm 2016 Cor1 Mgt,Investment Grade,1133.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Towd Point Mortgage Funding 2019-Auburn 13 plc,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,126.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
CWMBS Inc,Below Investment Grade,437.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Brighthouse Holdings LLC,Investment Grade,,Preferred Stock,Preferred Stock,Developed
ICG US CLO LTD,,,Bond - Asset Backed,Asset Backed,Developed
Option One Mortgage Loan Trust,Below Investment Grade,373.0,Bond - Asset Backed,Asset Backed,Developed
Cwalt Incorporation,Below Investment Grade,2064.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"GLP Capital L.P. and GLP Financing II, Inc.",Investment Grade,185.0,Bond - Corporate Bond,Corporate Bond,Developed
Impac Secured Ass,Below Investment Grade,352.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Indymac MBS Inc,Below Investment Grade,1048.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Banc of America Funding Corporation,Below Investment Grade,351.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
Morgan Stanley ABS Capital I Inc. Trust 2004-NC1,Below Investment Grade,280.0,Bond - Asset Backed,Asset Backed,Developed
ACE Securities Corp Home Equity Loan Trust Series 2007-SL2,Below Investment Grade,309.0,Bond - Asset Backed,Asset Backed,Developed
Newcastle Mortgage Securities Trust,Below Investment Grade,157.0,Bond - Asset Backed,Asset Backed,Developed
J P Morgan Mortgage Acquisition Corporation,Investment Grade,86.0,Bond - Asset Backed,Asset Backed,Developed
CWABS Inc.,Investment Grade,135.0,Bond - Asset Backed,Asset Backed,Developed
Spclty Undrw & Res,Below Investment Grade,228.0,Bond - Asset Backed,Asset Backed,Developed
HSI Asset Securitization Corporation Trust,Below Investment Grade,466.0,Bond - Asset Backed,Asset Backed,Developed
Terwin Mtg Tst,Below Investment Grade,512.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
American Home Mortgage Asset Trust,Below Investment Grade,295.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,187.0,Bond - Asset Backed,Asset Backed,Developed
Gaz Capital S.A.,Investment Grade,-1115.0,Bond - Corporate Bond,Corporate Bond,Emerging
Rali Ser 07-Qs7 Tr,Below Investment Grade,761.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Below Investment Grade,357.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"Preferred Term Securities XII, Ltd.",Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Citigroup Mortgage Loan Trust,,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Adj Rate Mtg Loan Trust,,1026.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWMBS Inc,Below Investment Grade,401.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Fnma Pass-Thru I,,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Regatta Funding Limited/Corp,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,155.0,Bond - Asset Backed,Asset Backed,Developed
CWMBS Inc,Below Investment Grade,393.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Renaissance Hm Eqt,Below Investment Grade,4361.0,Bond - Asset Backed,Asset Backed,Developed
CWABS Asset-Backed Certificates Trust 2007-SD1,,2126.0,Bond - Asset Backed,Asset Backed,Developed
Option One Mortgage Loan Trust,Below Investment Grade,762.0,Bond - Asset Backed,Asset Backed,Developed
,,,Bond - Bank Loans,Bank Loan,
Bear Stearns Alternative A Trust,Below Investment Grade,804.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
JP Morgan Mortgage Trust,Below Investment Grade,3112.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Morgan Stanley Hom,Below Investment Grade,852.0,Bond - Asset Backed,Asset Backed,Developed
Encore Credit Rece,Below Investment Grade,518.0,Bond - Asset Backed,Asset Backed,Developed
CSMC Series 2012-4R,,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Soundview Home Loan Trust,Below Investment Grade,182.0,Bond - Asset Backed,Asset Backed,Developed
Alesco Preferred Funding V Ltd / Alesco Preferred Funding V Inc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Bcap Llc Tr 07-Aa1,,1660.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Alternative Loan Trust,Below Investment Grade,1663.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Ameriquest Mortgage Securities,Below Investment Grade,401.0,Bond - Asset Backed,Asset Backed,Developed
Structured Adj Rate Mtg Loan Trust,Below Investment Grade,709.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Alesco Preferred Funding V Ltd / Alesco Preferred Funding V Inc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
CVS Lease Backed Pass Thru Ctf,Investment Grade,236.0,Bond - Corporate Bond,Corporate Bond,Developed
Cwalt Incorporation,Investment Grade,324.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWABS Inc.,Below Investment Grade,347.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Deutsche Alt-B Sec,Below Investment Grade,463.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CITIGROUP MORTGAGE LOAN TRUST,,,Bond - Asset Backed,Non-Agency Residential Mortgage Backed,Developed
New Century Home Equity Loan Trust 2005-1,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
,,,Credit Default Swap,Swap,
Rasc Ser 06-Emx2,Below Investment Grade,205.0,Bond - Asset Backed,Asset Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,2262.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
First Franklin Mortgage Loan Trust 2005-FF4,Below Investment Grade,340.0,Bond - Asset Backed,Asset Backed,Developed
Wash Mutual A/Bkd,Below Investment Grade,1260.0,Bond - Asset Backed,Asset Backed,Developed
Ownit Mtg Loan Tr,Below Investment Grade,739.0,Bond - Asset Backed,Asset Backed,Developed
J.P. MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES TRUST,Investment Grade,4829.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Morgan Stanley ABS Capital I Inc,Below Investment Grade,944.0,Bond - Asset Backed,Asset Backed,Developed
CWABS Inc.,Below Investment Grade,151.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
JP Morgan Alt Loan,Below Investment Grade,2763.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CHL Mortgage Pass-Through Trust,,388.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
ResLoC UK 2007-1 PLC,Investment Grade,,Bond - Non-Agency Residential MBS,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Natixis Commercial Mortgage Securities Trust 2019- Fame,Investment Grade,1578.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
CWABS Inc.,Below Investment Grade,480.0,Bond - Asset Backed,Asset Backed,Developed
Cwalt Incorporation,Below Investment Grade,157.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWABS Inc.,Below Investment Grade,952.0,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,30.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
,,,Credit Default Swap,Swap,
Saxon Asset Securities Trust,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Morgan Stanley ABS Capital I Inc. Trust 2004-NC1,Below Investment Grade,338.0,Bond - Asset Backed,Asset Backed,Developed
Structured Asset Mortgage Investments II Trust,Below Investment Grade,412.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"Residential Asset Mortgage Products, Inc.",Investment Grade,119.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Resident Asset Sec,,3069.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,1062.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Mortgage Funding Trust 2006-Ar1,Below Investment Grade,167.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"COLLEGE AVE STUDENT LOANS 2023-A, LLC",Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,635.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Vici Properties Inc,Investment Grade,134.0,Bond - Corporate Bond,Corporate Bond,Developed
Hudson Pacific Properties LP,Investment Grade,512.0,Bond - Corporate Bond,Corporate Bond,Developed
,,,Bond - Option (Put),,
Fremont Home Loan Trust,Below Investment Grade,645.0,Bond - Asset Backed,Asset Backed,Developed
Aegis Asset Backed Secs Trust,Below Investment Grade,-26.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Cwalt Incorporation,Below Investment Grade,701.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Energy Transfer LP,Investment Grade,113.0,Bond - Corporate Bond,Corporate Bond,Developed
Government National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,35.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Morgan Stanley ML,Below Investment Grade,2124.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"ALESCO Preferred Funding VI, Ltd.",Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,79.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
HSI Asset Loan Obligation Trust,Below Investment Grade,266.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
JP Morgan Mortgage Trust,Below Investment Grade,119.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Cwalt Alt 2006-J8,Below Investment Grade,402.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Asset Backed Secs Corp Home Equity Loan,Below Investment Grade,441.0,Bond - Asset Backed,Asset Backed,Developed
Renaissance Mtg Ac,Below Investment Grade,835.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Terwin Mtg Tst,Below Investment Grade,1301.0,Bond - Asset Backed,Asset Backed,Developed
Bcap Llc Tr 07-Aa1,,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Wamu Mtg Pass-Through Ctfs Ser 2007,Below Investment Grade,751.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Green Tree Financial Corporation,Below Investment Grade,8753.0,Bond - Asset Backed,Asset Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,424.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Arm Trust,,406.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,1329.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
WELLS FARGO COMMERCIAL MORTGAGE TRUST,Investment Grade,177.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Banc America Funding Trust,,0.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Accredited Mortgage Loan Trust,Below Investment Grade,361.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Banc America Mortgage Securitites Inc,Below Investment Grade,252.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
British Airways PLC,Investment Grade,183.0,Bond - Asset Backed,Asset Backed,Developed
HSBC Holdings PLC,Investment Grade,148.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Csmc,Below Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
COLLEGE AVE STUDENT LOANS 2023-B LLC,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Investment Grade,124.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,534.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,99.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Citigroup Mortgage Loan Trust,Below Investment Grade,1242.0,Bond - Asset Backed,Asset Backed,Developed
Ares Xxxix Clo. Ltd,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
GOLDEN ST TOB SECURITIZATION CORP CALIF TOB SETTLEMENT REV,Investment Grade,-28.0,Muni Bond - Revenue,Municipal (Taxable),Developed
Marble Point CLO XIV LTD,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Mastr A/Bkd 06-Nc3,Below Investment Grade,783.0,Bond - Asset Backed,Asset Backed,Developed
CWABS Inc.,Below Investment Grade,153.0,Bond - Asset Backed,Asset Backed,Developed
CWMBS Inc,Below Investment Grade,186.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"Residential Asset Mortgage Products, Inc.",Below Investment Grade,665.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
HSI Asset Securitization Corporation Trust,Below Investment Grade,467.0,Bond - Asset Backed,Asset Backed,Developed
"Residential Asset Mortgage Products, Inc.",Below Investment Grade,409.0,Bond - Asset Backed,Asset Backed,Developed
Terwin Mtg Tst,Below Investment Grade,288.0,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Chase Mtg 2007-S3,Below Investment Grade,3372.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Rali Ser 07-Q04 Tr,Below Investment Grade,282.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Morgan Stanley ABS Capital I Inc,Below Investment Grade,772.0,Bond - Asset Backed,Asset Backed,Developed
American Hm Mtg In,Below Investment Grade,471.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Mastr Specialized,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Wamu Wmalt 07-0c1,Below Investment Grade,779.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Countrywide Alternative loan Trust,,2673.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Countrywide Alternative loan Trust,Below Investment Grade,1654.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Corporate Bond,,
Bcap Llc Trust,,3.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
MASTR Asset Backed Securities Trust,Below Investment Grade,941.0,Bond - Asset Backed,Asset Backed,Developed
Wamu Mortgage Pass-Through CTFS TR,Below Investment Grade,468.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
GS Mortgage Securities Corp,Below Investment Grade,259.0,Bond - Asset Backed,Asset Backed,Developed
ENT AUTO RECEIVABLES TRUST 2023-1,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,91.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
PRPM 2023-RCF2 LLC,Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Birch Grove Clo Ltd/Llc,Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Bear Strn Strct Pr,Below Investment Grade,257.0,Bond - Asset Backed,Asset Backed,Developed
J P Morgan Mortgage Acquisition Corporation,Below Investment Grade,99.0,Bond - Asset Backed,Asset Backed,Developed
